"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) Не забравяйте да използвате референцията в плащането си. Без референцията обработката на плащането ви може да отнеме повече време!"
"Account holder: %1","Титуляр на сметка: %1"
"Account number: %1","Номер на сметка: %1"
"Amount: %1","Сума: %1"
"Amounts don't match. Possible fraud","Сумите не съвпадат. Възможна измама"
"API Details","Детайли на API"
"API Key","NoPayn API ключ"
"BIC: %1","BIC: %1"
"Branding","Брандиране"
"Bundle CA.cert file","Пакетен cURL ca.cert файл"
"Choose your bank:","Изберете вашата банка:"
"City: %1","Град: %1"
"Credit Card","Кредитна карта"
"Debug requests","Заявки за отстраняване на грешки"
"Debug","Отстраняване на грешки"
"Description","Описание"
"Enabled","Активирано"
"Especially for Developers you can enable the Debug mode.","Специално за разработчици можете да активирате режима за отстраняване на грешки."
"You can limit the availability to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses.","Можете да ограничите достъпността до конкретни IP адреси, например за целите на тестване (пример: 128.0.0.1, 255.255.255.255). Ако оставите това празно, методът за плащане ще бъде достъпен за всички IP адреси."
"Fill in your API Key below.","Копирайте API ключа на вашия уебмагазин от вашия търговски портал."
"General","Общи"
"Generate invoice upon succesfull transaction","Генериране на фактура при успешна транзакция"
"Generate invoice upon successful transaction","Генериране на фактура при успешна транзакция"
"Generate Invoice","Генериране на фактура"
"IBAN: %1","IBAN: %1"
"Include Webhook URL with every order creation","Автоматично предоставяне на URL адреса на webhook с всяка генерирана поръчка към NoPayn PSP API."
"NoPayn Order ID: %1","NoPayn ID на поръчка: %1"
"NoPayn processes the payments for","NoPayn обработва плащанията за"
"NoPayn PSP - Mastercard, VISA, Maestro of V PAY","NoPayn PSP - Mastercard, VISA, Maestro или V PAY"
"NoPayn PSP - Settings","NoPayn PSP - Настройки"
"NoPayn PSP","NoPayn PSP"
"Invalid return from NoPayn.","Невалидно връщане от NoPayn."
"Invalid return, missing order id.","Невалидно връщане, липсващ идентификатор на поръчка."
"IP Filtering","IP адрес(и) за тестване."
"Limit & Sorting","Настройки за риск и сортиране"
"Live","На живо"
"Minimum Order Total","Минимална сума на поръчката"
"New order email sent","Изпратен имейл за нова поръчка"
"No order found for transaction id %1","Не е намерена поръчка за идентификатор на транзакция %1"
"Notified customer about invoice #%1","Клиентът е уведомен за фактура #%1"
"Order not found","Поръчката не е намерена"
"OrderId not set","Идентификаторът на поръчката не е зададен"
"Payment Description","Описание на плащането"
"Payment failed with an error","Плащането е неуспешно с грешка"
"Payment from Applicable Countries","Разрешаване на плащане от приложими държави"
"Payment from Specific Countries","Разрешаване на плащане от конкретни държави"
"Payment instructions:","Инструкции за плащане:"
"Payment is cancelled","Плащането е отменено"
"Payment is completed","Плащането е завършено"
"Payment is pending","Плащането е в очакване"
"Place Order","Направете поръчка"
"Please use the following payment information:","Моля, използвайте следната информация за плащане:"
"Product","Продукт"
"Reference: %1","Референция: %1"
"Resolves issue when curl.cacert path is not set in PHP.ini","Решава проблема, когато пътят curl.cacert не е зададен в PHP.ini"
"Send Invoice Email","Изпращане на имейл с фактура"
"Send order mail","Изпращане на имейл за потвърждение на поръчката на купувача"
"Set the notification for to Notify the customer with the Invoice","Изпращане на имейл с фактура на вашия клиент"
"Set the order status before the customer is redirected to Payment Gateway","Задаване на статуса на поръчката преди клиентът да бъде пренасочен към платежния шлюз"
"Set the order status for Completed Payments","Задаване на статуса на поръчката за завършени плащания"
"Settings","Настройки"
"Something went wrong.","Нещо се обърка."
"Sort Order","Ред на сортиране"
"Status Pending","Статус В очакване"
"Status Processing","Статус В обработка"
"Test API Key","Тестов API ключ"
"Test","Тест"
"Thank you for your purchase!","Вашата поръчка е направена успешно. Благодарим ви за поръчката!"
"The order was canceled","Поръчката беше отменена"
"There was an error checking the transaction status.","Възникна грешка при проверка на статуса на транзакцията."
"There was a problem processing your payment because it expired. Please try again.","Възникна проблем при обработката на вашето плащане, защото срокът му изтече. Моля, опитайте отново."
"There was a problem processing your payment because it failed. Please try again.","Възникна проблем при обработката на вашето плащане, защото то е неуспешно. Моля, опитайте отново."
"There was a problem processing your payment because it has been cancelled. Please try again.","Възникна проблем при обработката на вашето плащане, защото то е отменено. Моля, опитайте отново."
"Title","Заглавие"
"Transaction Error","Грешка в транзакцията"
"Transaction not found","Транзакцията не е намерена"
"Use %id% for order increment id","Използвайте %id% за инкрементен идентификатор на поръчката"
"Version","Версия"
"Webhook URL","Webhook URL"
"When activated the debug file will be located in: var/log/gingerpay/debug.log","Когато настройките за отстраняване на грешки са активирани, файлът за отстраняване на грешки ще се намира в: var/log/nopayn"
"Your order has been received. Thank you for your purchase! We will dispatch your order as soon as possible. For any questions, please contact our customer support.","Вашата поръчка е получена. Благодарим ви за покупката! Ще изпратим вашата поръчка възможно най-скоро. За въпроси, моля, свържете се с нашата поддръжка на клиенти."
"Your order has been received.","Вашата поръчка е получена."
"Your order %id% at %name%","Вашата поръчка %id% в %name%"
"API Key is not valid: NoPayn Online payment methods deactivated","API ключът не е валиден: методите за плащане на NoPayn са деактивирани"
"Refund is not completed.","Възстановяването не е завършено."
"Male","Мъж"
"Female","Жена"
"Please select your gender","Моля, изберете вашия пол"
"Enter your date of birth","Въведете вашата дата на раждане"
"our shop","нашия магазин"
"Some payments will be missing. To use them, set %1 in Stores -> Configuration -> General -> Currency setup", "Някои плащания ще липсват. За да ги използвате, задайте %1 в Магазини -> Конфигурация -> Общи -> Настройка на валута"
"Show Payment Logo's", "Показване на лога за плащане"
"Maximum Order Total", "Максимална сума на поръчката"
"Set the order status for Authorized Payments", "Задаване на статуса на поръчката за оторизирани плащания"
"Status Authorized", "Статус Оторизирано"
"Manual Capture", "Ръчно улавяне"
"Enable to authorize payment first, then capture after invoice is sent", "Активирайте, за да оторизирате плащането първо, след това да уловите след изпращане на фактурата"
"NoPayn helps entrepreneurs with the best, smartest and most efficient payment systems.","NoPayn помага на предприемачите с най-добрите, най-интелигентните и най-ефективните системи за плащане."
