"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) Vergessen Sie nicht, die Zahlungsreferenz in Ihrer Bezahlung zu verwenden. Ohne die Referenz kann die Verarbeitung Ihrer Bezahlung mehr Zeit nehmen!"
"Account holder: %1","Kontoinhaber: %1"
"Account number: %1","Kontonummer: %1"
"Amount: %1","Betrag: %1"
"Amounts don't match. Possible fraud","Beträge stimmen nicht überein. Möglicher Betrug"
"API Details","API Details"
"API Key","NoPayn-API-Schlüssel"
"BIC: %1","BIC: %1"
"Branding","Markenbildung"
"Bundle CA.cert file","cURL ca.cert bündel benutzen"
"Choose your bank:","Wählen Sie Ihre Bank:"
"City: %1","Wohnort: %1"
"Credit Card","Kreditkarten"
"Debug requests","Debug-Anfragen"
"Debug","Debug"
"Description","Beschreibung"
"Enabled","Aktiviert"
"Especially for Developers you can enable the Debug mode.","Insbesondere für Entwickler können Sie den Debug-Modus aktivieren."
"You can limit the availability to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses.","Sie können spezifische IP-Adressen angeben, für die sichtbar ist, zB wenn Sie testen möchten, können Sie IP-Adressen als 128.0.0.1, 255.255.255.255 eingeben. Wenn Sie nichts ausfüllen, dann ist Klarna für alle IP-Adressen sichtbar."
"Fill in your API Key below.","Verwenden Sie Ihren API-Schlüssel"
"General","Allgemeines"
"Generate invoice upon succesfull transaction","Rechnung generieren bei einer erfolgreichen Transaktion"
"Generate invoice upon successful transaction","Generieren Sie eine Rechnung für jede erfolgreiche Transaktion"
"Generate Invoice","Rechnung generieren"
"IBAN: %1","IBAN: %1"
"Include Webhook URL with every order creation","Füge eine Webhook URL zu jeder Bestellung."
"NoPayn Order ID: %1","NoPayn Bestell-ID: %1"
"NoPayn processes the payments for","NoPayn verarbeitet die Zahlungen für"
"NoPayn PSP - Mastercard, VISA, Maestro of V PAY","NoPayn PSP - Mastercard, VISA, Maestro oder V PAY"
"NoPayn PSP - Settings","NoPayn PSP - Einstellungen"
"NoPayn PSP","NoPayn PSP"
"Invalid return from NoPayn.","Ungültiger Status von der NoPayn-API"
"Invalid return, missing order id.","Ungültiger Rückgabewert, Bestell-ID fehlt."
"IP Filtering","IP-Adresse(n) für Prüfung"
"Limit & Sorting","Limit und Sortierung"
"Live","Live"
"Minimum Order Total","Mindestwert Gesamtbestellung"
"New order email sent","E-Mail mit neuer Bestellung gesendet"
"No order found for transaction id %1","Keine Bestellung für die Transaktions-ID %1 gefunden"
"Notified customer about invoice #%1","Benachrichtigen Kunden über Rechnung #%1"
"Order not found","Bestellung nicht gefunden"
"OrderId not set","Bestell-Id nicht eingestellt"
"Payment Description","Zahlungsbeschreibung"
"Payment failed with an error","Fehler bei der Verarbeitung Bezahlung"
"Payment from Applicable Countries","Zahlung aus geltenden Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Payment instructions:","Zahlungsanweisungen:"
"Payment is cancelled","Bezahlung ist annulliert"
"Payment is completed","Bezahlung ist erfolgreich abgeschlossen"
"Payment is pending","Bezahlung wird verarbeitet"
"Place Order","Bestellung aufgeben"
"Please use the following payment information:","Bitte verwenden Sie die folgenden Zahlungsinformationen:"
"Product","Produkt"
"Reference: %1","Zahlungsreferenz: %1"
"Resolves issue when curl.cacert path is not set in PHP.ini","Löst Frage, wenn curl.cacert Pfad nicht in PHP.ini eingestellt wird."
"Send Invoice Email","Rechnungs-E-Mail senden"
"Send order mail","Bestellung-E-Mail senden"
"Set the notification for to Notify the customer with the Invoice","Rechnungs-E-Mail einstellen für Kunden"
"Set the order status before the customer is redirected to Payment Gateway","Stellen Sie den Bestellstatus ein, bevor der Kunde an Payment Gateway umgeleitet wird"
