"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) No olvide utilizar la referencia en su pago. Sin la referencia, el procesamiento de su pago puede llevar más tiempo!"
"Account holder: %1","Titular de la cuenta: %1"
"Account number: %1","Número de cuenta: %1"
"Amount: %1","Cantidad: %1"
"Amounts don't match. Possible fraud","Los importes no coinciden. Posible fraude"
"API Details","Detalles de la API"
"API Key","Clave API de NoPayn"
"BIC: %1","BIC: %1"
"Branding","Marca"
"Bundle CA.cert file","Agrupar archivo cURL ca.cert"
"Choose your bank:","Elija su banco:"
"City: %1","Ciudad: %1"
"Credit Card","Tarjeta de crédito"
"Debug requests","Solicitudes de depuración"
"Debug","Depuración"
"Description","Descripción"
"Enabled","Habilitado"
"Especially for Developers you can enable the Debug mode.","Especialmente para desarrolladores, puede habilitar el modo de depuración."
"You can limit the availability to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses.","Puede limitar la disponibilidad a direcciones IP específicas, por ejemplo, para fines de prueba (ejemplo: 128.0.0.1, 255.255.255.255). Si deja esto vacío, el método de pago estará disponible para todas las direcciones IP."
"Fill in your API Key below.","Copie la clave API de su tienda web desde su portal de comerciante."
"General","General"
"Generate invoice upon succesfull transaction","Generar una factura para una transacción exitosa"
"Generate invoice upon successful transaction","Generar factura tras transacción exitosa"
"Generate Invoice","Generar factura"
"IBAN: %1","IBAN: %1"
"Include Webhook URL with every order creation","Proporcionar automáticamente la URL del webhook con cada pedido generado a la API de NoPayn PSP."
"NoPayn Order ID: %1","ID de pedido NoPayn: %1"
"NoPayn processes the payments for","NoPayn procesa los pagos para"
"NoPayn PSP - Mastercard, VISA, Maestro of V PAY","NoPayn PSP - Mastercard, VISA, Maestro o V PAY"
"NoPayn PSP - Settings","NoPayn PSP - Configuración"
"NoPayn PSP","NoPayn PSP"
"Invalid return from NoPayn.","Retorno inválido de NoPayn."
"Invalid return, missing order id.","Retorno inválido, falta el ID del pedido."
"IP Filtering","Dirección(es) IP para pruebas."
"Limit & Sorting","Configuración de riesgo y clasificación"
"Live","En vivo"
"Minimum Order Total","Total mínimo del pedido"
"New order email sent","Correo electrónico de nuevo pedido enviado"
"No order found for transaction id %1","No se encontró ningún pedido para el ID de transacción %1"
"Notified customer about invoice #%1","Cliente notificado sobre la factura #%1"
"Order not found","Pedido no encontrado"
"OrderId not set","ID de pedido no establecido"
"Payment Description","Descripción del pago"
"Payment failed with an error","El pago falló con un error"
"Payment from Applicable Countries","Permitir pago desde países aplicables"
"Payment from Specific Countries","Permitir pago desde países específicos"
"Payment instructions:","Instrucciones de pago:"
"Payment is cancelled","El pago ha sido cancelado"
"Payment is completed","El pago está completado"
"Payment is pending","El pago está pendiente"
"Place Order","Realizar pedido"
"Please use the following payment information:","Por favor, utilice la siguiente información de pago:"
"Product","Producto"
"Reference: %1","Referencia: %1"
