"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) Ärge unustage kasutada viidet oma maksetes. Ilma viiteta võib teie makse töötlemine võtta rohkem aega!"
"Account holder: %1","Konto omanik: %1"
"Account number: %1","Konto number: %1"
"Amount: %1","Summa: %1"
"Amounts don't match. Possible fraud","Summad ei ühti. Võimalik pettus"
"API Details","API üksikasjad"
"API Key","NoPayn API võti"
"BIC: %1","BIC: %1"
"Branding","Kaubamärk"
"Bundle CA.cert file","Komplekteeri cURL ca.cert fail"
"Choose your bank:","Valige oma pank:"
"City: %1","Linn: %1"
"Credit Card","Krediitkaart"
"Debug requests","Silumispäringud"
"Debug","Silumine"
"Description","Kirjeldus"
"Enabled","Lubatud"
"Especially for Developers you can enable the Debug mode.","Eriti arendajatele saate lubada silumisrežiimi."
"You can limit the availability to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses.","Saate piirata kättesaadavust konkreetsetele IP-aadressidele, näiteks testimise eesmärgil (näide: 128.0.0.1, 255.255.255.255). Kui jätate selle tühjaks, on makseviis kättesaadav kõigile IP-aadressidele."
"Fill in your API Key below.","Kopeerige oma veebikaupluse API võti oma kaupmehe portaalist."
"General","Üldine"
"Generate invoice upon succesfull transaction","Genereerige arve eduka tehingu korral"
"Generate invoice upon successful transaction","Genereerige arve eduka tehingu korral"
"Generate Invoice","Genereerige arve"
"IBAN: %1","IBAN: %1"
"Include Webhook URL with every order creation","Esitage automaatselt webhook URL iga genereeritud tellimusega NoPayn PSP API-le."
"NoPayn Order ID: %1","NoPayn tellimuse ID: %1"
"NoPayn processes the payments for","NoPayn töötleb makseid"
"NoPayn PSP - Mastercard, VISA, Maestro of V PAY","NoPayn PSP - Mastercard, VISA, Maestro või V PAY"
"NoPayn PSP - Settings","NoPayn PSP - Seaded"
"NoPayn PSP","NoPayn PSP"
"Invalid return from NoPayn.","Vigane tagastus NoPayn-ilt."
"Invalid return, missing order id.","Vigane tagastus, puudub tellimuse ID."
"IP Filtering","IP-aadress(id) testimiseks."
