"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) Neaizmirstiet izmantot atsauci savā maksājumā. Bez atsauces jūsu maksājuma apstrāde var aizņemt vairāk laika!"
"Account holder: %1","Konta turētājs: %1"
"Account number: %1","Konta numurs: %1"
"Amount: %1","Summa: %1"
"Amounts don't match. Possible fraud","Summas nesakrīt. Iespējama krāpšana"
"API Details","API informācija"
"API Key","NoPayn API atslēga"
"BIC: %1","BIC: %1"
"Branding","Zīmolrade"
"Bundle CA.cert file","Komplektēt cURL ca.cert failu"
"Choose your bank:","Izvēlieties savu banku:"
"City: %1","Pilsēta: %1"
"Credit Card","Kredītkarte"
"Debug requests","Atkļūdošanas pieprasījumi"
"Debug","Atkļūdošana"
"Description","Apraksts"
"Enabled","Iespējots"
"Especially for Developers you can enable the Debug mode.","Īpaši izstrādātājiem varat iespējot atkļūdošanas režīmu."
"You can limit the availability to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses.","Jūs varat ierobežot pieejamību konkrētām IP adresēm, piemēram, testēšanas nolūkos (piemērs: 128.0.0.1, 255.255.255.255). Ja atstāsiet šo tukšu, maksājuma metode būs pieejama visām IP adresēm."
"Fill in your API Key below.","Nokopējiet sava tīmekļa veikala API atslēgu no sava tirgotāja portāla."
"General","Vispārīgi"
"Generate invoice upon succesfull transaction","Ģenerēt rēķinu pēc veiksmīga darījuma"
"Generate invoice upon successful transaction","Ģenerēt rēķinu pēc veiksmīga darījuma"
"Generate Invoice","Ģenerēt rēķinu"
"IBAN: %1","IBAN: %1"
"Include Webhook URL with every order creation","Automātiski nodrošināt webhook URL ar katru ģenerēto pasūtījumu NoPayn PSP API."
"NoPayn Order ID: %1","NoPayn pasūtījuma ID: %1"
"NoPayn processes the payments for","NoPayn apstrādā maksājumus"
"NoPayn PSP - Mastercard, VISA, Maestro of V PAY","NoPayn PSP - Mastercard, VISA, Maestro vai V PAY"
"NoPayn PSP - Settings","NoPayn PSP - Iestatījumi"
"NoPayn PSP","NoPayn PSP"
"Invalid return from NoPayn.","Nederīga atbilde no NoPayn."
"Invalid return, missing order id.","Nederīga atbilde, trūkst pasūtījuma ID."
