"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) Nie zapomnij użyć referencji w swojej płatności. Bez referencji przetwarzanie płatności może zająć więcej czasu!"
"Account holder: %1","Właściciel konta: %1"
"Account number: %1","Numer konta: %1"
"Amount: %1","Kwota: %1"
"Amounts don't match. Possible fraud","Kwoty nie pasują. Możliwe oszustwo"
"API Details","Szczegóły API"
"API Key","Klucz API NoPayn"
"BIC: %1","BIC: %1"
"Branding","Branding"
"Bundle CA.cert file","Pakiet pliku cURL ca.cert"
"Choose your bank:","Wybierz swój bank:"
"City: %1","Miasto: %1"
"Credit Card","Karta kredytowa"
"Debug requests","Żądania debugowania"
"Debug","Debugowanie"
"Description","Opis"
"Enabled","Włączone"
"Especially for Developers you can enable the Debug mode.","Szczególnie dla programistów możesz włączyć tryb debugowania."
"You can limit the availability to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses.","Możesz ograniczyć dostępność do określonych adresów IP, na przykład do celów testowych (przykład: 128.0.0.1, 255.255.255.255). Jeśli pozostawisz to pole puste, metoda płatności będzie dostępna dla wszystkich adresów IP."
"Fill in your API Key below.","Skopiuj klucz API swojego sklepu internetowego z portalu handlowca."
"General","Ogólne"
"Generate invoice upon succesfull transaction","Generuj fakturę po udanej transakcji"
"Generate invoice upon successful transaction","Generuj fakturę po udanej transakcji"
"Generate Invoice","Generuj fakturę"
"IBAN: %1","IBAN: %1"
"Include Webhook URL with every order creation","Automatycznie podaj adres URL webhooka z każdym wygenerowanym zamówieniem do API NoPayn PSP."
"NoPayn Order ID: %1","ID zamówienia NoPayn: %1"
"NoPayn processes the payments for","NoPayn przetwarza płatności dla"
"NoPayn PSP - Mastercard, VISA, Maestro of V PAY","NoPayn PSP - Mastercard, VISA, Maestro lub V PAY"
"NoPayn PSP - Settings","NoPayn PSP - Ustawienia"
"NoPayn PSP","NoPayn PSP"
"Invalid return from NoPayn.","Nieprawidłowy zwrot z NoPayn."
