"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) Nu uitați să folosiți referința în plata dvs. Fără referință, procesarea plății dvs. poate dura mai mult timp!"
"Account holder: %1","Titular cont: %1"
"Account number: %1","Număr cont: %1"
"Amount: %1","Sumă: %1"
"Amounts don't match. Possible fraud","Sumele nu se potrivesc. Posibilă fraudă"
"API Details","Detalii API"
"API Key","Cheie API NoPayn"
"BIC: %1","BIC: %1"
"Branding","Branding"
"Bundle CA.cert file","Pachet fișier cURL ca.cert"
"Choose your bank:","Alegeți banca dvs.:"
"City: %1","Oraș: %1"
"Credit Card","Card de credit"
"Debug requests","Cereri de depanare"
"Debug","Depanare"
"Description","Descriere"
"Enabled","Activat"
"Especially for Developers you can enable the Debug mode.","În special pentru dezvoltatori, puteți activa modul de depanare."
"You can limit the availability to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses.","Puteți limita disponibilitatea la adrese IP specifice, de exemplu în scopuri de testare (exemplu: 128.0.0.1, 255.255.255.255). Dacă lăsați acest câmp gol, metoda de plată va fi disponibilă pentru toate adresele IP."
"Fill in your API Key below.","Copiați cheia API a magazinului dvs. web din portalul comerciantului."
"General","General"
"Generate invoice upon succesfull transaction","Generați o factură pentru o tranzacție reușită"
"Generate invoice upon successful transaction","Generați o factură după o tranzacție reușită"
"Generate Invoice","Generați factură"
"IBAN: %1","IBAN: %1"
"Include Webhook URL with every order creation","Furnizați automat URL-ul webhook cu fiecare comandă generată către API-ul NoPayn PSP."
"NoPayn Order ID: %1","ID Comandă NoPayn: %1"
"NoPayn processes the payments for","NoPayn procesează plățile pentru"
"NoPayn PSP - Mastercard, VISA, Maestro of V PAY","NoPayn PSP - Mastercard, VISA, Maestro sau V PAY"
"NoPayn PSP - Settings","NoPayn PSP - Setări"
"NoPayn PSP","NoPayn PSP"
"Invalid return from NoPayn.","Returnare invalidă de la NoPayn."
"Invalid return, missing order id.","Returnare invalidă, lipsește ID-ul comenzii."
"IP Filtering","Adresă(e) IP pentru testare."
"Limit & Sorting","Setări de risc și sortare"
"Live","Live"
"Minimum Order Total","Total minim comandă"
"New order email sent","E-mail de comandă nouă trimis"
"No order found for transaction id %1","Nu s-a găsit nicio comandă pentru ID-ul de tranzacție %1"
"Notified customer about invoice #%1","Client notificat despre factura #%1"
"Order not found","Comanda nu a fost găsită"
"OrderId not set","ID-ul comenzii nu este setat"
"Payment Description","Descriere plată"
"Payment failed with an error","Plata a eșuat cu o eroare"
"Payment from Applicable Countries","Permiteți plata din țările aplicabile"
"Payment from Specific Countries","Permiteți plata din țări specifice"
"Payment instructions:","Instrucțiuni de plată:"
"Payment is cancelled","Plata este anulată"
"Payment is completed","Plata este finalizată"
"Payment is pending","Plata este în așteptare"
"Place Order","Plasați comanda"
"Please use the following payment information:","Vă rugăm să utilizați următoarele informații de plată:"
"Product","Produs"
"Reference: %1","Referință: %1"
"Resolves issue when curl.cacert path is not set in PHP.ini","Rezolvă problema când calea curl.cacert nu este setată în PHP.ini"
"Send Invoice Email","Trimiteți e-mail cu factură"
"Send order mail","Trimiteți un e-mail de confirmare a comenzii către cumpărător"
"Set the notification for to Notify the customer with the Invoice","Trimiteți un e-mail cu factură clientului dvs."
"Set the order status before the customer is redirected to Payment Gateway","Setați starea comenzii înainte ca clientul să fie redirecționat către Gateway-ul de plată"
"Set the order status for Completed Payments","Setați starea comenzii pentru plățile finalizate"
"Settings","Setări"
"Something went wrong.","Ceva nu a funcționat corect."
"Sort Order","Ordine de sortare"
"Status Pending","Status În așteptare"
