"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) Glöm inte att använda referensen i din betalning. Utan referensen kan bearbetningen av din betalning ta längre tid!"
"Account holder: %1","Kontoinnehavare: %1"
"Account number: %1","Kontonummer: %1"
"Amount: %1","Belopp: %1"
"Amounts don't match. Possible fraud","Beloppen matchar inte. Möjligt bedrägeri"
"API Details","API-detaljer"
"API Key","NoPayn API-nyckel"
"BIC: %1","BIC: %1"
"Branding","Varumärke"
"Bundle CA.cert file","Bunta cURL ca.cert-fil"
"Choose your bank:","Välj din bank:"
"City: %1","Stad: %1"
"Credit Card","Kreditkort"
"Debug requests","Felsökningsbegäran"
"Debug","Felsökning"
"Description","Beskrivning"
"Enabled","Aktiverad"
"Especially for Developers you can enable the Debug mode.","Särskilt för utvecklare kan du aktivera felsökningsläget."
"You can limit the availability to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses.","Du kan begränsa tillgängligheten till specifika IP-adresser, till exempel för teständamål (exempel: 128.0.0.1, 255.255.255.255). Om du lämnar detta tomt kommer betalningsmetoden att vara tillgänglig för alla IP-adresser."
"Fill in your API Key below.","Kopiera API-nyckeln för din webbutik från din handlarportal."
"General","Allmänt"
"Generate invoice upon succesfull transaction","Generera en faktura för en lyckad transaktion"
"Generate invoice upon successful transaction","Generera faktura vid lyckad transaktion"
"Generate Invoice","Generera faktura"
"IBAN: %1","IBAN: %1"
"Include Webhook URL with every order creation","Tillhandahåll automatiskt webhook-URL med varje genererad order till NoPayn PSP API."
"NoPayn Order ID: %1","NoPayn Order-ID: %1"
"NoPayn processes the payments for","NoPayn bearbetar betalningarna för"
"NoPayn PSP - Mastercard, VISA, Maestro of V PAY","NoPayn PSP - Mastercard, VISA, Maestro eller V PAY"
"NoPayn PSP - Settings","NoPayn PSP - Inställningar"
"NoPayn PSP","NoPayn PSP"
"Invalid return from NoPayn.","Ogiltig retur från NoPayn."
"Invalid return, missing order id.","Ogiltig retur, saknar order-id."
"IP Filtering","IP-adress(er) för testning."
"Limit & Sorting","Riskinställningar och sortering"
"Live","Live"
"Minimum Order Total","Minsta ordersumma"
"New order email sent","E-post om ny order skickad"
"No order found for transaction id %1","Ingen order hittades för transaktions-id %1"
"Notified customer about invoice #%1","Meddelade kund om faktura #%1"
"Order not found","Order hittades inte"
"OrderId not set","Order-ID inte inställt"
"Payment Description","Betalningsbeskrivning"
"Payment failed with an error","Betalningen misslyckades med ett fel"
"Payment from Applicable Countries","Tillåt betalning från tillämpliga länder"
"Payment from Specific Countries","Tillåt betalning från specifika länder"
"Payment instructions:","Betalningsinstruktioner:"
"Payment is cancelled","Betalningen är avbruten"
"Payment is completed","Betalningen är slutförd"
"Payment is pending","Betalningen väntar"
"Place Order","Lägg order"
"Please use the following payment information:","Vänligen använd följande betalningsinformation:"
"Product","Produkt"
"Reference: %1","Referens: %1"
"Resolves issue when curl.cacert path is not set in PHP.ini","Löser problem när curl.cacert-sökvägen inte är inställd i PHP.ini"
"Send Invoice Email","Skicka faktura via e-post"
"Send order mail","Skicka en orderbekräftelse via e-post till köparen"
"Set the notification for to Notify the customer with the Invoice","Skicka en faktura via e-post till din kund"
"Set the order status before the customer is redirected to Payment Gateway","Ställ in orderstatus innan kunden omdirigeras till betalningsgateway"
"Set the order status for Completed Payments","Ställ in orderstatus för slutförda betalningar"
"Settings","Inställningar"
"Something went wrong.","Något gick fel."
"Sort Order","Sorteringsordning"
"Status Pending","Status Väntande"
"Status Processing","Status Bearbetning"
"Test API Key","Test API-nyckel"
"Test","Test"
"Thank you for your purchase!","Din order har lagts framgångsrikt. Tack för din beställning!"
"The order was canceled","Ordern avbröts"
"There was an error checking the transaction status.","Det uppstod ett fel vid kontroll av transaktionsstatus."
"There was a problem processing your payment because it expired. Please try again.","Det uppstod ett problem med att bearbeta din betalning eftersom den löpte ut. Vänligen försök igen."
"There was a problem processing your payment because it failed. Please try again.","Det uppstod ett problem med att bearbeta din betalning eftersom den misslyckades. Vänligen försök igen."
"There was a problem processing your payment because it has been cancelled. Please try again.","Det uppstod ett problem med att bearbeta din betalning eftersom den har avbrutits. Vänligen försök igen."
"Title","Titel"
"Transaction Error","Transaktionsfel"
"Transaction not found","Transaktion hittades inte"
"Use %id% for order increment id","Använd %id% för orderinkrementerings-id"
"Version","Version"
"Webhook URL","Webhook URL"
"When activated the debug file will be located in: var/log/gingerpay/debug.log","När felsökningsinställningarna är aktiverade kommer felsökningsfilen att finnas i: var/log/nopayn"
"Your order has been received. Thank you for your purchase! We will dispatch your order as soon as possible. For any questions, please contact our customer support.","Din order har mottagits. Tack för ditt köp! Vi kommer att skicka din order så snart som möjligt. För eventuella frågor, kontakta vår kundtjänst."
"Your order has been received.","Din order har mottagits."
"Your order %id% at %name%","Din order %id% hos %name%"
"API Key is not valid: NoPayn Online payment methods deactivated","API-nyckeln är inte giltig: NoPayn betalningsmetoder inaktiverade"
"Refund is not completed.","Återbetalningen är inte slutförd."
"Male","Man"
"Female","Kvinna"
"Please select your gender","Vänligen välj ditt kön"
"Enter your date of birth","Ange ditt födelsedatum"
"our shop","vår butik"
"Some payments will be missing. To use them, set %1 in Stores -> Configuration -> General -> Currency setup", "Vissa betalningar kommer att saknas. För att använda dem, ställ in %1 i Butiker -> Konfiguration -> Allmänt -> Valutainställning"
"Show Payment Logo's", "Visa betalningslogotyper"
"Maximum Order Total", "Maximal ordersumma"
"Set the order status for Authorized Payments", "Ställ in orderstatus för auktoriserade betalningar"
"Status Authorized", "Status Auktoriserad"
"Manual Capture", "Manuell fångst"
"Enable to authorize payment first, then capture after invoice is sent", "Aktivera för att auktorisera betalning först, sedan fånga efter att faktura skickats"
"NoPayn helps entrepreneurs with the best, smartest and most efficient payment systems.","NoPayn hjälper entreprenörer med de bästa, smartaste och mest effektiva betalningssystemen."
